Daily_returns,WTI,Copper,Gold,Bitcoin,Eurusd,Nasdaq,S_P,Dax,Ftse100,Nikkei_225,AMD,Germany_10y,US10y,PF
Week54,5.4,7.9,4.9,79.5,6.2,12.2,7.5,2.4,-0.2,4.1,0.2,0.3,1,26.3
Week55,7.2,6.7,5.2,78.9,6.2,10.6,6.1,1.5,-1.2,3,-1.8,0.4,1,24.8
Week56,7.2,6.7,5.2,73.8,6.2,9.4,5.6,1.3,-0.8,3.1,-5.8,0.6,1.5,22.8
Week57,7.2,7.5,5.4,70.1,6.2,9.6,5.7,2.3,0.2,3.9,-6,0.6,1.4,22.8
Week58,8.9,7.7,5.6,76.3,6.3,10.5,6.4,2.9,0.3,4.2,-4.4,0.6,1.4,25.3
Week59,9.5,8.2,5.2,80.4,6,10,6.1,3,1,4.8,-5.2,0.3,0.6,26
Week60,9.9,7.3,4.7,81.7,5.1,10.5,6.2,3.7,1.8,5.2,-0.3,0.4,0.7,27.4
Week61,11.1,7.6,4.5,79.5,4.8,11.5,7,4.4,2.7,5.7,2.9,0.4,0.6,28.6
Week62,11.3,7.7,4.1,76.3,4.4,11.5,7,4.5,3.1,5.8,5.1,0.5,0.4,28.4
Week63,8.9,7.5,4.2,73.9,4,11.9,6.9,3.7,2.6,4.9,7.2,1.2,1.6,27.7
Week64,7.9,9.3,4.1,74.7,4.4,12.8,7.6,3.8,2.7,5.5,10.7,0.9,1.1,29.1
Week65,8.4,9.3,4.1,68.9,4.2,13.2,7.8,4.3,2.7,5.9,13.2,0.8,1.2,28.8
Week66,8.5,7.3,3.4,69.1,3.9,13.3,7.5,3.4,2.2,5.4,13.8,1.2,1.5,28.1
Week67,11.9,6.5,2.9,66.2,4,12.1,6.9,2.2,2.1,5,10.9,1.3,1.8,26.7
Week68,12.5,4.9,2.9,69.2,4.2,12.7,7.3,2.7,2.2,4.1,12.2,1.4,2,27.6
Week69,10.9,3.7,2.5,68.4,4.2,13.6,8,3.1,2.4,5,14.1,1.4,2.1,27.9
Week70,10.4,3.3,2,74.6,4.1,13.8,8.2,3.4,2.5,5.5,14.3,1.4,1.6,29
Week71,10.3,4.1,2,77,4.2,13.4,8.4,3.7,2.6,5.5,17.8,1.2,1.3,30.3
Week72,9.8,3.4,1.5,72.8,3.8,13.7,8.6,3.3,2.4,5.5,19.4,1.2,1.2,29.3
Week73,8.9,3.3,1.3,67.2,3.4,13.9,8.6,2.9,2.6,5.1,20.5,1.4,1.5,28.2
Week74,8.3,2,0.7,68,3.3,13.7,8.7,2.2,1.9,4.8,21.2,1.6,1.9,27.6
Week75,10,2.8,1.1,69.7,4,14.4,9.2,2.8,2,5.5,27.6,1.4,2,30.5
Week76,10.1,1.9,1.1,71.1,3.9,14.8,9.3,2,1.2,5.7,32.8,1.4,1.7,31.4
Week77,9.8,2,1.2,67.7,3.9,14.3,9.2,1.4,0.5,5.4,37.1,1.2,1.3,31
Week78,10.8,3.1,1.2,68.4,4.2,14.5,9.6,2.2,0.9,7.1,39.1,1,0.7,32.6
Week79,12.1,4,0.9,68.9,4.1,14.7,9.6,2.5,1.7,7.8,39.5,0.9,0.7,33.5
Week80,12.9,4,1.1,68.9,3.6,13.4,9.1,1.6,0.7,7.5,33.4,0.9,-0.2,31.4
Week81,11.1,4,1.9,67.7,3.7,12.1,7.7,0.2,-0.9,5.5,32.6,1,0,29.3
Week82,9.4,3.6,2.1,68,3.4,11.5,7.2,-0.5,-1,5.1,29.5,1.2,-0.2,27.9
Week83,8.6,3.1,2,67.6,3.1,10.5,6.4,-0.9,-0.9,3.4,17.1,1.4,-0.1,24.2
Week84,6.3,3.5,2.1,68,3.2,11.6,7.4,-0.3,-0.5,4.5,22.6,1.2,-0.6,25.8
Week85,3.2,3.1,1.6,65.5,3,11.1,7.3,-0.4,-0.6,4.5,23.1,1.3,-0.3,24.5
Week86,0.9,3.7,1.9,54.5,3.2,9.7,6.3,-1.1,-1,3.9,20.6,1.5,0.2,20.9
Week87,-1.3,3.6,1.9,49.9,3,11,7.3,-0.9,-0.9,4.9,24.7,1.6,0.3,21
Week88,-0.9,3.2,2.5,45.1,3,9.8,6.1,-2.5,-2.1,3.6,22.2,1.9,1.4,18.7
Week89,-2.3,3,2.6,43.4,3,9,5.2,-2.5,-2.1,3.5,21,1.8,1.5,17.4
Week90,-6,2.3,3.2,47.9,3.2,6.8,3.3,-3.5,-2.7,1.4,16.7,1.9,2.3,15.4
Week91,-2.3,1.9,3.9,48.8,3.4,8.8,4.8,-2.6,-1.8,1.1,21.8,2,2.4,18.4
Week92,-0.2,2.2,4.1,45.1,3.1,9.8,5.8,-1.4,-1.9,2,22.1,2.2,2.2,19
Week93,0.7,3.4,4.8,44,3.4,11,6.8,-1.2,-0.9,2.2,28.3,2.3,2.4,21.5
Week94,0,3.6,4.5,44.7,2.9,11.4,7.1,-1.6,-0.3,2.3,26.8,2.5,2.6,21.3
Week95,1.9,4.1,5.1,47.6,2.9,11.9,7.7,-0.9,0.1,3.1,28.1,2.6,2.6,23.4
Week96,2.2,5.4,5,48.1,3.1,12.3,7.9,-0.3,-0.3,3.5,28.6,2.5,2.4,24.1
Week97,2.2,5.1,3.9,48.1,2.9,12.3,7.8,0,-0.2,3.8,26.9,2.4,2.2,23.5
Week98,2.8,5,4.3,48.5,2.8,12.4,7.9,-0.2,-0.2,3.1,26.8,2.7,2.7,23.7
Week99,4,4.9,4.5,49.6,3,13.1,8.4,0.1,0.4,3.7,29.9,2.7,3,25.5
Week100,4.3,4.6,4.4,49.7,2.7,13,8.3,-0.5,0.1,3,30.7,3.1,4,25.5
Week101,6.1,5.1,4,56.9,2.6,14,9.1,1,1.1,3.8,34.5,3,3.5,28.9
Week102,7.1,5.2,4.2,59.8,2.8,14.3,9.3,1.1,1.3,4,34.2,2.9,3.4,30
Week103,7.3,5.3,3.6,60.5,2.8,14.7,9.5,1.8,1.5,4.8,34,2.8,3.1,30.3
Week104,6.8,4.3,3.7,62.5,2.4,14.8,9.6,2.1,1,4.6,33.8,3,3.6,30.4
Week105,5.6,2.8,4,72.4,2.6,13.6,8.7,1.4,0.2,3.1,33.4,3.2,4,31
Week106,5.5,2.4,3.6,75.2,2.4,13.5,8.8,1.9,0.7,3,33.5,3.2,4.3,31.6
Week107,2.8,1.7,3.9,78.8,2.4,12.4,7.9,1,0.2,2.6,34.2,3.5,5.2,31.3
Week108,-0.2,1.2,5.2,76.1,2.7,12.4,8.3,1.2,0.3,2,37.3,3.7,5.8,31.2
Week109,-0.8,1.4,5.3,78.5,2.7,13.7,9.2,1.8,0.9,2.9,38.5,3.7,5.8,32.7
Week110,1.8,2.1,6.6,84.1,2.9,14.6,9.9,2.4,1.2,3.1,36.9,3.9,6.2,35.1
Week111,3.8,2.3,7.3,90.4,3,14.4,9.8,2.4,1.3,3.3,37.4,4,6.3,37.2
Week112,3.2,1.7,7.4,91.2,2.7,15.3,10.5,2.9,1.9,3.8,39.9,4.1,6.4,38.2
Week113,3.3,2.2,7.6,87.3,2.7,15.6,10.7,2.4,1.7,3.5,41.2,3.9,5.9,37.6
Week114,1.9,2.4,7.7,85.6,2.4,15.7,10.7,2.6,1.7,3.7,41.2,4.2,6,37.2
Week115,2.4,2,7.8,84.6,2.2,15.7,10.7,2.3,2.2,3.8,39.9,4.4,6.3,36.9
Week116,0.2,0.5,9.1,90.3,2.4,14.1,9.4,0.4,0.4,2.1,36.9,4.8,8.2,35.8
Week117,1.4,0.8,10,87.9,2.3,14,9.2,0,-0.1,1.8,38.9,5.2,9.6,36.2
Week118,1.6,0.4,9.9,86.7,2.2,14.3,9.5,0.4,-0.2,2,38.4,5.2,9.7,36
Week119,1.4,0.2,10.7,84.9,2,14.1,9.4,0.8,-0.1,1.8,38.3,5.4,10.4,35.8
Week120,2.5,1.1,10.1,86.5,2,14.9,10.3,1.9,0.4,2.9,38.1,5,9.7,37.1
Week121,2.3,1.3,9.7,86.1,2,15.4,10.8,2.6,0.8,4.2,37.6,4.7,8.3,37.2
